speaker	pillai	pair	variety	type	element
M1	0.726969000766702	i-i(ɔ)	Cangnan	rising	onset
M2	0.0241999085829265	i-i(ɔ)	Cangnan	rising	onset
M3	0.631689587132887	i-i(ɔ)	Cangnan	rising	onset
M4	0.0952690355617112	i-i(ɔ)	Cangnan	rising	onset
M5	0.654589543624643	i-i(ɔ)	Cangnan	rising	onset
F1	0.333798609870806	ɔ-(i)ɔ	Cangnan	rising	offset
F2	0.319220484000391	ɔ-(i)ɔ	Cangnan	rising	offset
F3	0.233313920428868	ɔ-(i)ɔ	Cangnan	rising	offset
F4	0.674397726703721	ɔ-(i)ɔ	Cangnan	rising	offset
F5	0.494280658183128	ɔ-(i)ɔ	Cangnan	rising	offset
M1	0.0353982828824574	ɔ-(i)ɔ	Cangnan	rising	offset
M2	0.595929169905055	ɔ-(i)ɔ	Cangnan	rising	offset
M3	0.514751366414442	ɔ-(i)ɔ	Cangnan	rising	offset
M4	0.262753173386443	ɔ-(i)ɔ	Cangnan	rising	offset
M5	0.366933036938241	ɔ-(i)ɔ	Cangnan	rising	offset
F1	0.428496773503537	u-u(ɐ)	Cangnan	rising	onset
F2	0.0643224848251247	u-u(ɐ)	Cangnan	rising	onset
F3	0.793307136061298	u-u(ɐ)	Cangnan	rising	onset
F4	0.411761085834258	u-u(ɐ)	Cangnan	rising	onset
F5	0.203239510932297	u-u(ɐ)	Cangnan	rising	onset
M1	0.584494943362133	u-u(ɐ)	Cangnan	rising	onset
M2	0.38052151061914	u-u(ɐ)	Cangnan	rising	onset
M3	0.824232430317938	u-u(ɐ)	Cangnan	rising	onset
M4	0.592612412834803	u-u(ɐ)	Cangnan	rising	onset
M5	0.561148945437045	u-u(ɐ)	Cangnan	rising	onset
F1	0.0608455045958711	ɐ-(u)ɐ	Cangnan	rising	offset
F2	0.722993984527152	ɐ-(u)ɐ	Cangnan	rising	offset
F3	0.65228757065821	ɐ-(u)ɐ	Cangnan	rising	offset
F4	0.832143325020415	ɐ-(u)ɐ	Cangnan	rising	offset
F5	0.710474407428197	ɐ-(u)ɐ	Cangnan	rising	offset
M1	0.625511598004219	ɐ-(u)ɐ	Cangnan	rising	offset
M2	0.416203301465989	ɐ-(u)ɐ	Cangnan	rising	offset
M3	0.490613472628528	ɐ-(u)ɐ	Cangnan	rising	offset
M4	0.559542191208457	ɐ-(u)ɐ	Cangnan	rising	offset
M5	0.437551274668225	ɐ-(u)ɐ	Cangnan	rising	offset
F1	0.82709104140333	ə-ə(u)	Cangnan	falling	onset
F2	0.813395583461986	ə-ə(u)	Cangnan	falling	onset
F3	0.868521766658645	ə-ə(u)	Cangnan	falling	onset
F4	0.898799621399406	ə-ə(u)	Cangnan	falling	onset
F5	0.733449956266117	ə-ə(u)	Cangnan	falling	onset
M1	0.907709174016566	ə-ə(u)	Cangnan	falling	onset
M2	0.868196022453126	ə-ə(u)	Cangnan	falling	onset
M3	0.614506103192919	ə-ə(u)	Cangnan	falling	onset
M4	0.1581168272278	ə-ə(u)	Cangnan	falling	onset
M5	0.774556773719239	ə-ə(u)	Cangnan	falling	onset
